Stückliste exportiert aus /Users/espero/nfs_ds_nfs/git/HFT-Core-Module__HW_1V1/CAD/Eagle/HFT-Core-Module_1V1.sch am 20.10.18 21:47

Qty Value                                             Device                                Package                            Parts                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Description                                                 
4   MOUNT-PAD-ROUND2.8                                MOUNT-PAD-ROUND2.8                    2,8-PAD                            H3101, H3111, H3121, H3131                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       MOUNTING PAD, round                                         
3   N/A                                               C-EUC0603                             C0603                              C1712, C1713, C1716                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              CAPACITOR, European symbol                                  
7   N/A                                               R-EU_R0603                            R0603                              R0811, R0812, R0851, R1504, R1505, R1506, R1507                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  RESISTOR, European symbol                                   
2   N/A HiQ                                           C-EUC0603                             C0603                              C1652, C1653                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     CAPACITOR, European symbol                                  
1   OPA354                                            OPA354                                SOT-23-5                           U0741                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            CMOS OPERATIONAL AMPLIFIERS                                 
1   PAM2305AAB120                                     PAM2305                               SOT95P280X145-5N                   U2101                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            PAM2305                                                     
1   PCM1863                                           PCM1863                               R-PDSO-G30                         U0901                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Texas Instruments PCM1863                                   
1   PE4259                                            PE4259                                SC-70_6-LEAD_2X1MM25_0P65          U1631                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            pSemi  PE4259                                               
10  PTR1B1,27                                         PTR1B1,27                             B1,27                              TP_+1V1, TP_+1V2_MCU, TP_+3V3, TP_+3V3_20MHZ, TP_+3V3_HICUR, TP_+5V0, TP_+5V0_SOL, TP_+5V0_USB_SW, TP_VBAT, TP_VSOL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              TEST PIN                                                    
11  PTR1TP06R                                         PTR1TP06R                             TP06R                              TP_AX_ADC1, TP_AX_ADC2, TP_AX_IRQ, TP_AX_TCXO_EN, TP_SX_DIO0, TP_SX_DIO1, TP_SX_DIO2, TP_SX_DIO3, TP_SX_DIO4, TP_SX_DIO5, TP_SX_RXTX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             TEST PIN                                                    
1   SC189ZSKTRT                                       PAM2305                               SOT95P280X145-5N                   U2001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            PAM2305                                                     
2   SMA_SMT_AMPHENOL-901-143, SAMTEC SMA-J-P-H-RA-TH1 SMA_SMT_AMPHENOL-901-143              SMA_SMT_AMPHENOL_901-143           X2701, X2711                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     RF/COAXIAL, SMA JACK, R/A, 50OHM, THD                       
1   STM32L4Z_144PIN_SMPS                              STM32L4Z_144PIN_SMPS                  LQFP144                            U0111                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            STM32L4XX LQFP packages with actual and functional symbols. 
1   Si5338                                            SI5338                                QFN24_P0MM5_CTRPAD                 U0801                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            SI5338                                                      
4   TS5A23166                                         TS5A23166                             R-PDSO-G8                          U2201, U2301, U2401, U2501                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       TS5A23166                                                   
1   TTE_EN11-HSM                                      TTE_EN11-HSM                          TTE_EN11-HSM                       X1301                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            TT-Electronics EN1-HSM Rotary Encoder with Switch           
1   WIRE-TO-BOARD_5MM08_1X02                          WIRE-TO-BOARD_5MM08_1X02              WIRE-TO-BOARD_5MM08_1X02           X1901                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Wire-to-Board connector 5.08mm 1x02                         
1   WM8523                                            WM8523                                R-PDSO-G30                         U1001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            WM8523                                                      
